Radical,Freq.,General standard #,,HSK 3.0,Stroke count,Character,Pronounciation,Meaning
人 9.2,6946,3517,0.0000000672,,4,仂,lè,surplus or excess; remainder
人 9.2,7373,3516,0.0000000362,,4,仉,zhǎng,surname of the mother of Mencius
人 9.3,10,277,0.0082466556,1,5,他,tā,"other, another; he, she, it"
人 9.3,13,273,0.0060456264,1,5,们,men,adjunct pronoun indicate plural
人 9.3,23,182,0.0047059850,2,4,以,yǐ,"by means of; thereby, therefore; consider as; in order to"
人 9.3,174,271,0.0011975669,3,5,代,dài,"replace, replacement (of person or generation); era, generation"
人 9.3,378,282,0.0005920807,5,5,令,lìng,"to order, to command, an order"
人 9.3,820,269,0.0002197732,3,5,付,fù,"give, deliver, pay, hand over; entrust"
人 9.3,1255,272,0.0001036206,7–9,5,仙,xiān,"Taoist super-being, transcendent, immortal"
人 9.3,1283,274,0.0000985199,6,5,仪,yí,"ceremony, rites gifts; admire"
人 9.3,1572,276,0.0000642261,5,5,仔,zǐ,"small thing, child; young animal"
人 9.3,1712,270,0.0000530377,7–9,5,仗,zhàng,"rely upon; protector; fight; war, weaponry"
人 9.3,3042,3542,0.0000093280,,5,仕,shì,official; serve government
人 9.3,4685,3541,0.0000013178,,5,仨,sā,(coll.) three (cannot be followed by a measure word)
人 9.3,5443,3543,0.0000006201,,5,仟,qiān,one thousand; leader of one thousand men
人 9.3,5516,3546,0.0000005736,,5,仞,rèn,(measure)
人 9.3,5893,3545,0.0000003721,,5,仫,mù,tribe
人 9.3,6006,3544,0.0000003256,,5,仡,gē,strong; valiant
人 9.3,6887,6513,0.0000000723,,5,仝,tóng,"together, same; surname"
人 9.4,29,486,0.0037977919,1,6,会,huì,"assemble, meet together; meeting"
人 9.4,186,467,0.0010980909,3,6,任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow"
人 9.4,250,466,0.0008934957,2,6,件,jiàn,numerary adjunct for article; matter
人 9.4,332,455,0.0006624462,3,6,传,chuán,"summon; propagate, transmit"
人 9.4,409,469,0.0005355651,3,6,价,jià,"price, value"
人 9.4,450,490,0.0004829512,4,6,企,qǐ,plan a project; stand on tiptoe
人 9.4,510,491,0.0004154436,3,6,众,zhòng,"multitude, crowd; masses, public"
人 9.4,660,468,0.0003081693,3,6,伤,shāng,"wound, injury; fall ill from"
人 9.4,761,478,0.0002460879,7–9,6,伊,yī,"third person pronoun; he, she, this, that"
