Radical,Freq.,General standard #,,HSK 3.0,Stroke count,Character,Pronounciation,Meaning
糸 120.13,—,7916,0.0000000000,,16,𫄷,yì,
糸 120.14,3536,6438,0.0000051162,,20,纂,zuǎn,"edit, compile; topknot, chignon"
糸 120.14,5674,,0.0000004909,,20,繻,xū,fine silk guaze; torn piece of silk
糸 120.14,6424,,0.0000001705,,20,繼,jì,"continue, maintain, carry on"
糸 120.14,7094,,0.0000000517,,20,纁,xūn,"light red, pink"
糸 120.14,8876,,0.0000000052,,20,纃,qí,
糸 120.14,9239,,0.0000000052,,20,纀,pú,
糸 120.14,9871,,0.0000000052,,20,繿,lán,(same as襤) clothes without hem; ragged garments; sloppily dressed
糸 120.14,—,7979,0.0000000000,,17,𦈡,xū,
糸 120.14,—,7980,0.0000000000,,17,𫄸,xūn,"light red, pink"
糸 120.15,5952,,0.0000003514,,21,續,xù,"continue, carry on; succeed"
糸 120.15,7950,,0.0000000155,,19,纄,péng,
糸 120.15,8877,,0.0000000052,,21,纉,zuǎn,variant of 缵
糸 120.15,9466,,0.0000000052,,21,纏,chán,"wrap, wind around; tie, bind"
糸 120.15,9752,,0.0000000052,,21,纍,léi,"bind, wind about; link, join"
糸 120.15,—,8030,0.0000000000,,18,𬙊,mò,cord
糸 120.16,6432,6419,0.0000001654,,19,缵,zuǎn,"continue, carry on, succeed"
糸 120.16,8227,,0.0000000155,,22,纑,lú,to soften hemp by boiling; thread
糸 120.16,8878,,0.0000000052,,22,纒,chán,"wrap, wind around; tie, bind"
糸 120.17,6766,,0.0000000930,,23,纔,cái,"talent, ability; just, only"
糸 120.17,6838,,0.0000000827,,23,纖,xiān,"fine, delicate; minute; graceful"
糸 120.17,8034,,0.0000000155,,23,纕,rǎng,belt
糸 120.17,—,8073,0.0000000000,,20,𬙋,xiāng,belt
糸 120.18,8879,,0.0000000052,,24,纗,zuī,
糸 120.19,6329,6493,0.0000001964,,25,纛,dào,"a banner, a streamer"
糸 120.19,7631,,0.0000000258,,25,纘,zuǎn,"continue, carry on, succeed"
糸 120.2,1723,344,0.0000520093,6,5,纠,jiū,"investigate, inspect"
糸 120.3,415,594,0.0005272139,2,6,级,jí,"level, rank, class; grade"
糸 120.3,424,593,0.0005123821,3,6,约,yuē,"treaty, agreement, covenant"
糸 120.3,502,589,0.0004229990,2,6,红,hóng,"red, vermillion; blush, flush"
糸 120.3,584,595,0.0003568143,3,6,纪,jì,"record, annal, historical account"
糸 120.3,2106,591,0.0000318650,7–9,6,纤,xiān,"fine, delicate; minute; graceful"
糸 120.3,4173,597,0.0000024444,,6,纫,rèn,"thread needle, sew stitch, string"
糸 120.3,4329,3645,0.0000020723,,6,纣,zhòu,name of an emperor; saddle part
糸 120.3,4854,3646,0.0000010904,,6,纥,gē,"inferior silk; tassel, fringe"
糸 120.3,5285,3644,0.0000007183,,6,纡,yū,"bend, turn, twist; distort"
糸 120.3,5335,3647,0.0000006873,,6,纨,wán,"white silk, fine silk; gauze"
糸 120.3,5728,,0.0000004548,,9,紅,hóng,"red, vermillion; blush, flush"
糸 120.3,5998,,0.0000003256,,9,約,yuē,"treaty, agreement, covenant"
糸 120.3,6831,6554,0.0000000827,,6,纩,kuàng,cotton; silk
糸 120.3,6837,,0.0000000827,,9,紀,jì,"record, annal, historical account"
糸 120.3,7969,,0.0000000155,,9,紃,xún,a cord
糸 120.3,9231,,0.0000000052,,9,紂,zhòu,name of an emperor; saddle part
糸 120.3,9444,,0.0000000052,,9,紇,hé,"inferior silk; tassel, fringe"
糸 120.3,—,6553,0.0000000000,,6,𬘓,xún,a cord
糸 120.4,560,1884,0.0003736357,3,10,紧,jǐn,"tense, tight, taut; firm, secure"
糸 120.4,661,1775,0.0003054200,6,10,素,sù,white (silk); plain; vegetarian; formerly; normally
糸 120.4,684,934,0.0002873170,6,7,纳,nà,"admit, take, receive, accept"
糸 120.4,805,1851,0.0002241039,5,10,索,suǒ,"large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated"
糸 120.4,1020,938,0.0001550407,2,7,纸,zhǐ,paper
糸 120.4,1125,931,0.0001286278,4,7,纯,chún,"pure, clean, simple"
糸 120.4,1181,937,0.0001179304,4,7,纷,fēn,"in disorder, scattered, tangled"
糸 120.4,1236,936,0.0001064526,6,7,纵,zòng,"indulge in, give free reign to"
糸 120.4,1767,942,0.0000489189,7–9,7,纽,niǔ,"knot; button; handle, knob; tie"
糸 120.4,1768,939,0.0000489034,7–9,7,纹,wén,"line, streak, stripe; wrinkle"
糸 120.4,1934,933,0.0000404746,5,7,纲,gāng,"heavy rope, hawser; main points"
糸 120.4,2409,940,0.0000215758,7–9,7,纺,fǎng,"spin, reel, weave; reeled pongee"
糸 120.4,2430,932,0.0000210280,7–9,7,纱,shā,"gauze, thin silk; yarn, thread"
糸 120.4,2697,929,0.0000148524,7–9,7,纬,wěi,woof; parallels of latitude
糸 120.4,3113,2036,0.0000084701,7–9,10,紊,wěn,"confused, disorder"
糸 120.4,3560,3824,0.0000049870,,7,纶,lún,green silk thread or tassel
糸 120.4,4262,3821,0.0000022273,,7,纭,yún,"confused, in disorder; numerous"
糸 120.4,4392,3825,0.0000019121,,7,纾,shū,"loosen, relax, relieve; extricate"
糸 120.4,5277,3822,0.0000007235,,7,纰,pī,spoiled silk; hem of dress; mista
糸 120.4,6114,,0.0000002791,,10,納,nà,"admit, take, receive, accept"
糸 120.4,6378,6641,0.0000001809,,7,纻,zhù,ramie; sack cloth
糸 120.4,6465,,0.0000001602,,9,級,jí,"level, rank, class; grade"
糸 120.4,6474,6638,0.0000001550,,7,纮,hóng,"string; vast, expansive"
糸 120.4,7006,,0.0000000620,,10,紤,jiǔ,
糸 120.4,7052,,0.0000000568,,10,純,chún,"pure, clean, simple"
糸 120.4,7200,,0.0000000465,,10,紙,zhǐ,paper
糸 120.4,7651,,0.0000000258,,10,紛,fēn,"in disorder, scattered, tangled"
糸 120.4,7657,,0.0000000258,,10,紗,shā,"gauze, thin silk; yarn, thread"
糸 120.4,7847,,0.0000000207,,10,紖,zhèn,a rope for leading cattle or horse
糸 120.4,8267,,0.0000000103,,10,紏,tǒu,
糸 120.4,8406,3823,0.0000000103,,7,纴,rèn,"weave, lay warp"
糸 120.4,8608,,0.0000000103,,10,紋,wén,"line, streak, stripe; wrinkle"
糸 120.4,8609,,0.0000000103,,10,紓,shū,"loosen, relax, relieve; extricate"
糸 120.4,8958,,0.0000000052,,10,紣,cuì,
糸 120.4,9359,,0.0000000052,,10,紐,niǔ,"knot; button; handle, knob; tie"
糸 120.4,9445,,0.0000000052,,10,紝,rèn,"weave, lay warp"
糸 120.4,9771,,0.0000000052,,10,紘,hóng,"string; vast, expansive"
糸 120.4,—,6642,0.0000000000,,7,𬘘,dǎn,
糸 120.4,—,6644,0.0000000000,,7,纼,zhèn,a rope for leading cattle or horse
糸 120.5,62,1350,0.0024874832,2,8,经,jīng,classic works; pass through
糸 120.5,358,1338,0.0006187675,2,8,组,zǔ,"class; section, department"
糸 120.5,430,1336,0.0005077982,3,8,线,xiàn,"line, thread, wire; clue"
糸 120.5,558,1344,0.0003748398,3,8,终,zhōng,"end; finally, in the end"
糸 120.5,578,1342,0.0003590726,5,8,织,zhī,"weave, knit; organize, unite"
糸 120.5,597,1340,0.0003509746,4,8,细,xì,"fine, tiny; slender, thin"
糸 120.5,1005,1337,0.0001600122,2,8,练,liàn,"to practice, drill, exercise, train"
糸 120.5,1234,1348,0.0001068763,1,8,绍,shào,"continue, carry on; join"
糸 120.5,1323,2282,0.0000931092,1,11,累,lèi,"tired; implicate, involve; bother"
糸 120.5,1646,2604,0.0000577352,5,12,紫,zǐ,"purple, violet; amethyst; surname"
糸 120.5,2554,1339,0.0000179428,7–9,8,绅,shēn,"girdle; tie, bind; gentry"
糸 120.5,3015,1349,0.0000096639,7–9,8,绎,yì,to unravel or unreel silk; to interpret
糸 120.5,3183,1346,0.0000078810,,8,绊,bàn,"loop, catch; fetter, shackle"
糸 120.5,4672,4079,0.0000013385,,8,绉,zhòu,"crepe, crape, wrinkles, creases"
糸 120.5,4831,4080,0.0000011163,,8,绌,chù,"sew, stitch; insufficient"
糸 120.5,5122,4074,0.0000008424,,8,绀,gàn,dark blue or reddish color
糸 120.5,5505,,0.0000005891,,11,細,xì,"fine, tiny; slender, thin"
糸 120.5,5916,,0.0000003617,,11,組,zǔ,"class; section, department"
糸 120.5,6072,,0.0000002997,,11,紹,shào,"continue, carry on; hand down; to join"
糸 120.5,6417,4076,0.0000001705,,8,绂,fú,ribbon or cord used attach ornaments
糸 120.5,6521,4075,0.0000001447,,8,绁,xiè,"to contract, draw in, reduce, shorten"
糸 120.5,6780,6754,0.0000000879,,8,绐,dài,"cheat, fool, pretend"
糸 120.5,6877,,0.0000000775,,11,終,zhōng,"end; finally, in the end"
糸 120.5,6906,,0.0000000723,,11,絁,shī,"rough, indelicate silk"
糸 120.5,6940,6753,0.0000000672,,8,绋,fú,large rope; rope attached to bier
糸 120.5,6965,,0.0000000672,,11,紬,chóu,kind of thin silk
糸 120.5,7093,,0.0000000517,,11,絅,jiōng,"unlined garment, dust coat"
糸 120.5,7609,,0.0000000258,,11,䌷,chōu,(simplified form of紬) a thread; a clue
糸 120.5,7613,,0.0000000258,,11,絃,xián,string on musical instrument
糸 120.5,7658,,0.0000000258,,11,紮,zā,"tie, fasten, bind"
糸 120.5,7840,,0.0000000207,,11,紩,zhì,to sew
糸 120.5,8013,,0.0000000155,,11,紵,zhù,ramie; sack cloth
糸 120.5,9087,,0.0000000052,,11,紭,hóng,
糸 120.5,9088,,0.0000000052,,11,紾,zhěn,turns or twist; a switch
糸 120.5,9232,,0.0000000052,,11,紻,yǎng,
糸 120.5,9360,,0.0000000052,,11,紳,shēn,"girdle; tie, bind; gentry"
糸 120.5,9446,,0.0000000052,,11,紺,gàn,dark blue or reddish color
糸 120.5,9447,,0.0000000052,,11,絆,bàn,"loop, catch; fetter, shackle"
糸 120.5,—,6750,0.0000000000,,8,䌹,jiǒng,"(simplified form of 絅) (same as褧) a garment of one colour with no lining, a dust coat"
糸 120.6,180,1758,0.0011256355,1,9,给,gěi,"give; by, for"
糸 120.6,236,1754,0.0009388642,2,9,结,jié,"knot, tie; join, connect"
糸 120.6,264,1765,0.0008569331,4,9,统,tǒng,"govern, command, control; unite"
糸 120.6,562,1762,0.0003724677,3,9,绝,jué,"to cut, sever, break off, terminate"
糸 120.6,1118,1761,0.0001305193,4,9,络,luò,"enmesh, wrap around; web, net"
糸 120.6,1485,1755,0.0000732388,5,9,绕,rào,entwine; wind around; surround
糸 120.6,1809,1757,0.0000467122,6,9,绘,huì,"draw, sketch, paint"
糸 120.6,2421,1752,0.0000212502,7–9,9,绑,bǎng,"bind, tie, fasten"
糸 120.6,2672,1763,0.0000153123,7–9,9,绞,jiǎo,"twist, wring; intertwine; winch"
糸 120.6,2678,1753,0.0000151366,5,9,绒,róng,"silk, cotton, or woolen fabric"
糸 120.6,3125,2809,0.0000083564,7–9,12,絮,xù,"waste cotton, raw silk or cotton"
糸 120.6,3711,1759,0.0000040826,,9,绚,xuàn,"variegated, adorned; brilliant"
糸 120.6,3987,4397,0.0000030284,,9,绛,jiàng,deep red; river in Shanxi provinc
糸 120.6,4979,,0.0000009664,,12,結,jié,"knot, tie; join, connect"
糸 120.6,5259,4393,0.0000007390,,9,绔,kù,trousers
糸 120.6,5802,,0.0000004134,,12,統,tǒng,"govern, command, control; unite"
糸 120.6,6281,,0.0000002119,,12,絡,luò,"enmesh, wrap around; web, net"
糸 120.6,6340,,0.0000001912,,12,給,gěi,"give; by, for"
糸 120.6,6557,,0.0000001344,,12,絕,jué,"cut, sever, break off, terminate"
糸 120.6,6587,7282,0.0000001292,,12,絜,jié,"a marking line; ascertain, assess; measure"
糸 120.6,6794,7298,0.0000000879,,12,絷,zhí,"confine, tie up; imprison, shackle"
糸 120.6,6910,,0.0000000723,,12,絲,sī,silk; fine thread; wire; strings
糸 120.6,6969,6917,0.0000000620,,9,绖,dié,white hempen cloth worn by mourners
糸 120.6,7354,,0.0000000362,,12,絪,yīn,matting; coverlet; cloudy
糸 120.6,7798,,0.0000000207,,12,絫,lěi,to accumulate
糸 120.6,7949,,0.0000000155,,12,絙,huán,
糸 120.6,8033,,0.0000000155,,12,絏,xiè,"rope, cable; reins; to tie up, bind"
糸 120.6,8122,,0.0000000155,,12,絨,róng,"silk, cotton, or woolen fabric"
糸 120.6,8454,,0.0000000103,,12,絟,quán,
糸 120.6,8610,,0.0000000103,,12,絞,jiǎo,"twist, wring; intertwine; winch"
糸 120.6,8959,,0.0000000052,,12,絍,rèn,to lay the warp; to weave
糸 120.6,9043,,0.0000000052,,12,絭,juàn,
糸 120.6,9089,,0.0000000052,,12,絶,jué,cut
糸 120.6,9448,,0.0000000052,,12,絳,jiàng,deep red; river in Shanxi provinc
糸 120.6,9735,4396,0.0000000052,,9,绗,háng,baste
糸 120.6,9813,,0.0000000052,,12,絒,chóu,
糸 120.6,9814,,0.0000000052,,12,絓,guà,obstructed; hindered
糸 120.6,9896,,0.0000000052,,12,絣,bēng,to baste for sewing; to connect
糸 120.6,—,6919,0.0000000000,,9,𬘡,yīn,"mattress, cushion"
糸 120.6,—,6921,0.0000000000,,9,𬘩,tīng,
糸 120.6,—,6922,0.0000000000,,9,𫄧,tīng,the hanging flap in the front of a hat
糸 120.7,655,2153,0.0003122829,3,10,继,jì,"continue, maintain, carry on"
糸 120.7,2385,2150,0.0000224026,,10,绢,juàn,kind of thick stiff silk
糸 120.7,2434,2151,0.0000209091,7–9,10,绣,xiù,embroider; embroidery; ornament
糸 120.7,2791,4703,0.0000130695,,10,绥,suí,"soothe, appease, pacify"
糸 120.7,4190,,0.0000024237,,13,經,jīng,classic works; pass through
糸 120.7,4908,4704,0.0000010336,,10,绦,tāo,"silk cord, ribbon"
糸 120.7,5811,4705,0.0000004083,,10,绨,tí,"coarse pongee, kind of heavy silk"
糸 120.7,6191,4701,0.0000002429,,10,绡,xiāo,raw silk fabric
糸 120.7,7077,,0.0000000517,,12,絽,lǚ,a silk gauze
糸 120.7,7162,4699,0.0000000465,,10,绠,gěng,well rope
糸 120.7,7184,,0.0000000465,,13,絼,zhěn,
糸 120.7,7262,,0.0000000413,,12,綎,tīng,silk braided cord
糸 120.7,7431,,0.0000000310,,12,綖,yán,the hanging flap in the front of a hat
糸 120.7,7457,,0.0000000310,,12,絛,tāo,"silk braid, sash"
糸 120.7,7659,,0.0000000258,,13,絺,chī,fine linen; fine hemp fiber
糸 120.7,7660,,0.0000000258,,13,絿,qiú,urgent
糸 120.7,7753,,0.0000000207,,13,綈,tí,"coarse pongee, kind of heavy silk"
糸 120.7,7863,,0.0000000207,,13,綍,fú,rope
糸 120.7,8091,,0.0000000155,,13,綑,kǔn,"coil, roll, bundle, tie up"
糸 120.7,8123,,0.0000000155,,13,絹,juàn,kind of thick stiff silk
糸 120.7,8385,,0.0000000103,,12,絾,chéng,
糸 120.7,8528,,0.0000000103,,13,綂,tǒng,"govern, command, control; unite"
糸 120.7,8618,7095,0.0000000103,,10,绤,xì,cloth
糸 120.7,9090,,0.0000000052,,13,綅,qīn,thread
糸 120.7,9361,,0.0000000052,,13,綀,shū,a kind of sackcloth
糸 120.7,9449,,0.0000000052,,13,綄,huán,
糸 120.7,9450,,0.0000000052,,13,綊,xié,
糸 120.7,9451,,0.0000000052,,13,綏,suī,"soothe, appease, pacify; carriage harness"
糸 120.7,9452,,0.0000000052,,13,綒,fū,
糸 120.7,9453,,0.0000000052,,13,綔,hù,
糸 120.7,9454,,0.0000000052,,13,綗,jiǒng,variant of 䌹
糸 120.7,—,7094,0.0000000000,,10,𫄨,chī,"fine linen, fine help cloth"
糸 120.7,—,7097,0.0000000000,,10,𬘫,huǎn,
糸 120.8,520,2492,0.0004076246,4,11,维,wéi,"maintain, preserve, safeguard"
糸 120.8,552,2488,0.0003820437,3,11,续,xù,"continue, carry on; succeed"
糸 120.8,1088,2498,0.0001365036,2,11,绿,lǜ,green; chlorine
糸 120.8,1413,2487,0.0000804686,6,11,绪,xù,"end of thread; thread, clue"
糸 120.8,1425,2496,0.0000788511,4,11,综,zōng,arrange threads for weaving
糸 120.8,1547,2486,0.0000660917,2,11,绩,jī,spin; achievements
糸 120.8,1983,2491,0.0000374979,7–9,11,绳,shéng,"rope, string, cord; control"
糸 120.8,2186,2493,0.0000290537,7–9,11,绵,mián,"cotton wad; wool; soft, downy"
糸 120.8,2635,2495,0.0000160100,7–9,11,绸,chóu,"silk cloth, satin damask"
糸 120.8,2930,2490,0.0000107956,7–9,11,绰,chuò,"graceful, delicate; spacious"
糸 120.8,2978,2494,0.0000100308,7–9,11,绷,běng,"bind, draw firmly, strap"
糸 120.8,3002,2499,0.0000097517,7–9,11,缀,zhuì,"patch together, link, connect"
糸 120.8,3130,2497,0.0000083047,7–9,11,绽,zhàn,"ripped seam, rend, crack"
糸 120.8,3262,5027,0.0000071161,,11,绫,líng,"thin silk, damask silk"
糸 120.8,3565,5029,0.0000049508,,11,绮,qǐ,"fine thin silk; elegant, beautifu"
糸 120.8,3862,5030,0.0000034004,7–9,11,绯,fēi,"scarlet, dark red, crimson; purpl"
糸 120.8,4098,5035,0.0000027080,,11,绶,shòu,silk ribbon attached as a seal
糸 120.8,4492,5036,0.0000017054,,11,绺,liǔ,"skein; tuft, lock; wrinkle"
糸 120.8,4528,5038,0.0000016175,,11,绾,wǎn,"to string together, to bind up"
糸 120.8,4589,5037,0.0000015038,,11,绻,quǎn,"affectionate, solicitous"
糸 120.8,5179,5031,0.0000007958,,11,绱,shàng,the piece of leather used for soles on Chinese shoes; a patch
糸 120.8,5299,5040,0.0000007132,,11,缁,zī,black silk
糸 120.8,5599,5642,0.0000005323,,14,綦,qí,dark grey. variegated. superlative
糸 120.8,5646,5033,0.0000005064,,11,绲,gǔn,cord; woven belt; hem; hemming
糸 120.8,5658,,0.0000005013,,14,網,wǎng,"net, web; network"
糸 120.8,5776,,0.0000004289,,14,綝,chēn,"to stop; adjusted, in order"
糸 120.8,6023,,0.0000003204,,14,維,wéi,"maintain, preserve, safeguard"
糸 120.8,6210,,0.0000002326,,11,缍,duǒ,
糸 120.8,6685,5817,0.0000001085,,14,綮,qǐ,embroidered banner
糸 120.8,6724,,0.0000000982,,14,緊,jǐn,"tense, tight, taut; firm, secure"
糸 120.8,6871,,0.0000000775,,14,綱,gāng,"heavy rope, hawser; main points"
糸 120.8,6878,,0.0000000775,,14,綜,zōng,arrange threads for weaving
糸 120.8,7355,7277,0.0000000362,,11,绹,táo,"to braid, twist; twisted or braided"
糸 120.8,7376,,0.0000000362,,14,緒,xù,end of thread; thread
糸 120.8,7535,,0.0000000258,,14,綠,lǜ,green; chlorine
糸 120.8,7712,,0.0000000258,,14,綼,bì,
糸 120.8,7721,,0.0000000207,,14,綿,mián,"cotton wad; wool; soft, downy"
糸 120.8,8014,,0.0000000155,,14,緌,ruí,tassels hanging from hat
糸 120.8,8224,,0.0000000155,,14,綟,lì,
糸 120.8,8240,,0.0000000155,,14,綵,cǎi,varicolored silk; variegated
糸 120.8,8865,,0.0000000052,,14,綡,liáng,
糸 120.8,8866,,0.0000000052,,14,綶,guǒ,
糸 120.8,8867,,0.0000000052,,14,緄,gǔn,cord; woven belt; hem; hemming
糸 120.8,9044,,0.0000000052,,14,緅,zōu,silk of purplish color
糸 120.8,9045,,0.0000000052,,14,緍,mín,"variant of緡U+7DE1, a fishing-line; cord; string of coins; a paper or straw string"
糸 120.8,9233,,0.0000000052,,14,綹,liǔ,"skein; tuft, lock; wrinkle"
糸 120.8,9234,,0.0000000052,,14,緐,fán,variant of 繁
糸 120.8,9455,,0.0000000052,,14,綴,zhuì,"patch together, link, connect"
糸 120.8,9720,,0.0000000052,,14,緋,fēi,"scarlet, dark red, crimson; purple"
糸 120.8,—,7273,0.0000000000,,11,𬘬,qiàn,dark red
糸 120.8,—,7274,0.0000000000,,11,𬘭,chēn,
糸 120.8,—,7278,0.0000000000,,11,𫟅,liáng,
糸 120.8,—,7279,0.0000000000,,11,𬘯,zhǔn,
糸 120.9,858,2822,0.0002060887,4,12,编,biān,"knit, weave; arrange; compile"
糸 120.9,1111,2818,0.0001315477,4,12,缓,huǎn,"slow, leisurely; to postpone, delay"
糸 120.9,1274,2824,0.0000998946,6,12,缘,yuán,"hem, margin; reason, cause; fate"
糸 120.9,2676,2814,0.0000152193,7–9,12,缅,miǎn,"distant, remote; think of"
糸 120.9,2688,2819,0.0000149713,7–9,12,缔,dì,"tie, join, connect; connection"
糸 120.9,2821,2815,0.0000124545,7–9,12,缆,lǎn,"hawser, heavy-duty rope, cable"
糸 120.9,2894,2820,0.0000112711,7–9,12,缕,lǚ,"thread; detailed, precise"
糸 120.9,3108,2817,0.0000085683,,12,缎,duàn,satin
糸 120.9,3165,2816,0.0000080050,7–9,12,缉,jī,to sew in close stitches
糸 120.9,3908,5330,0.0000032196,,12,缄,jiān,"seal, close; bind; letter"
糸 120.9,4549,5333,0.0000015865,,12,缈,miǎo,"indistinct, dim; minute; distant"
糸 120.9,5002,5328,0.0000009457,,12,缂,kè,the woof of a woven item
糸 120.9,5487,5329,0.0000005943,,12,缃,xiāng,light-yellow color
糸 120.9,5538,5337,0.0000005633,,12,缗,mín,fishing-line; cord; string of coi
糸 120.9,5656,5336,0.0000005013,,12,缒,zhuì,climb down rope; hang by rope
糸 120.9,5794,5332,0.0000004186,,12,缇,tí,"reddish color, red, brown"
糸 120.9,5903,,0.0000003669,,15,緩,huǎn,"slow, leisurely; to postpone, delay"
糸 120.9,6033,,0.0000003152,,15,線,xiàn,"thread, line, wire; clue"
糸 120.9,6115,5334,0.0000002739,,12,缌,sī,coarse cotton cloth used for mourning
糸 120.9,6180,5335,0.0000002481,,12,缑,gōu,cord binding on hilt of sword
糸 120.9,6228,,0.0000002274,,12,缋,huì,"draw, sketch, paint"
糸 120.9,6257,,0.0000002222,,15,練,liàn,"practice, drill, exercise, train"
糸 120.9,6497,,0.0000001499,,12,缏,biàn,"hem; plait, braid, queue"
糸 120.9,6895,,0.0000000723,,15,緡,mín,a fishing-line; cord; string of coins; a paper or straw string
糸 120.9,7126,,0.0000000517,,15,緣,yuán,"hem, margin; reason, cause; karma, fate"
糸 120.9,7501,,0.0000000310,,15,緛,ruǎn,
糸 120.9,7502,,0.0000000310,,15,編,biān,"knit, weave; arrange; compile"
糸 120.9,7661,,0.0000000258,,15,緯,wěi,woof; parallels of latitude
糸 120.9,8124,,0.0000000155,,15,緷,yùn,
糸 120.9,8125,,0.0000000155,,16,緻,zhì,"delicate, fine; dense"
糸 120.9,8225,,0.0000000155,,15,緜,mián,"cotton wad; wool; soft, downy"
糸 120.9,8287,,0.0000000103,,15,締,dì,"tie, join, connect; connection"
糸 120.9,8455,,0.0000000103,,14,緺,guā,
糸 120.9,8562,,0.0000000103,,15,緲,miǎo,"indistinct, dim; minute; distant"
糸 120.9,8611,,0.0000000103,,15,緹,tí,"reddish color, red, brown"
糸 120.9,8759,,0.0000000103,,15,縂,zǒng,"collect; overall, altogether"
糸 120.9,8868,,0.0000000052,,15,緗,xiāng,light-yellow color
糸 120.9,8869,,0.0000000052,,15,緼,yùn,"variant of縕U+7E15, tangled hemp, raveled silk; vague, confused"
糸 120.9,8870,,0.0000000052,,15,縁,yuán,hem
糸 120.9,8960,,0.0000000052,,15,縆,gēng,a rope
糸 120.9,9362,,0.0000000052,,15,緱,gōu,cord binding on hilt of sword
糸 120.9,9456,,0.0000000052,,15,緝,jī,to sew in close stitches
糸 120.9,9457,,0.0000000052,,15,緞,duàn,satin
糸 120.9,9458,,0.0000000052,,15,緦,sī,coarse cotton cloth used for mourning
糸 120.9,9459,,0.0000000052,,15,緰,tóu,net
糸 120.9,9460,,0.0000000052,,15,緶,biàn,"hem; plait, braid, queue"
糸 120.9,9868,,0.0000000052,,15,緤,xiè,cord
糸 120.9,9869,,0.0000000052,,15,緵,zōng,net
糸 120.9,9897,,0.0000000052,,15,縀,xiá,
糸 120.9,—,7459,0.0000000000,,12,缐,xiàn,
缶 121.0,5328,3598,0.0000006925,,6,缶,fǒu,earthen crock or jar; rad. 121
缶 121.10,9467,,0.0000000052,,16,罃,yīng,long necked jar or bottle
缶 121.11,4542,6203,0.0000015969,,17,罄,qìng,"exhaust, run out, use up; empty"
缶 121.11,4673,6253,0.0000013385,,17,罅,xià,"crack, fissure, split"
缶 121.11,8619,,0.0000000103,,17,罆,guàn,"jar, jug, pitcher, pot"
缶 121.12,8228,,0.0000000155,,18,罈,tán,"an earthenware jar, a jug"
缶 121.12,9046,,0.0000000052,,18,罇,zūn,"a goblet; a bottle, a wine-jar"
缶 121.13,7865,,0.0000000207,,19,罋,wèng,earthen jar; jar for ashes
缶 121.15,8457,8080,0.0000000103,,21,罍,léi,large earthenware wine jar
缶 121.18,2410,3499,0.0000215448,7–9,23,罐,guàn,"jar, jug, pitcher, pot"
缶 121.2,8588,,0.0000000103,,8,缷,xiè,lay down; retire from office
缶 121.3,2817,1537,0.0000125941,7–9,9,缸,gāng,"earthen jug, crock, cistern"
缶 121.4,875,1935,0.0001989933,3,10,缺,quē,"be short of, lack; gap, deficit"
缶 121.5,7002,,0.0000000620,,10,缻,fǒu,"pottery, earthenware"
缶 121.5,7019,,0.0000000568,,11,缽,bō,earthenware basin; alms bowl
缶 121.6,9363,,0.0000000052,,12,缾,píng,"jar, bottle"
缶 121.8,4374,5729,0.0000019586,,14,罂,yīng,long necked jar or bottle
缶 121.8,8128,,0.0000000155,,14,罁,gāng,a cistern; an earthenware jar of large dimensions; a vat; a crock
网 122.0,605,442,0.0003468558,1,6,网,wǎng,net; network; KangXi radical 122
网 122.10,7223,7779,0.0000000413,,15,罶,liǔ,fishing trap
网 122.10,7866,,0.0000000207,,15,罷,bà,"cease, finish, stop; give up"
网 122.10,8407,,0.0000000103,,15,罵,mà,"accuse, blame, curse, scold"
网 122.11,4168,6109,0.0000024599,,16,罹,lí,"sorrow, grief; incur, meet with"
网 122.11,9096,,0.0000000052,,15,罼,bì,
网 122.12,3297,6237,0.0000068216,,17,羁,jī,"halter; restrain, hold, control"
网 122.12,5786,6239,0.0000004238,,17,罾,zēng,"a large square net, lowered and raised from the bank of the river"
网 122.12,7032,6238,0.0000000568,,17,罽,jì,a kind of woolen fabric
网 122.12,8881,,0.0000000052,,18,羀,liǔ,fishing trap
网 122.14,8129,,0.0000000155,,19,羅,luó,net for catching birds; gauze
网 122.17,8130,,0.0000000155,,22,羇,jī,inn; lodge; travel
网 122.19,8620,,0.0000000103,,24,羈,jī,"halter; restrain, hold, control"
网 122.19,9240,,0.0000000052,,24,羉,luán,
网 122.3,392,1108,0.0005600711,7–9,8,罗,luō,net for catching birds; gauze
网 122.3,2221,895,0.0000279529,7–9,7,罕,hǎn,"rare, scarce; surname"
网 122.3,4200,3938,0.0000023824,,8,罔,wǎng,net; deceive; libel; negative
网 122.3,—,2286,0.0000000000,,11,啰,luō,phonetic
网 122.4,1215,1519,0.0001085817,5,9,罚,fá,"penalty, fine; punish, penalize"
网 122.4,5614,4232,0.0000005220,,9,罘,fú,screen used in ancient times
网 122.4,9094,,0.0000000052,,8,罙,mí,deep
网 122.5,1305,1918,0.0000955639,6,10,罢,bà,"cease, finish, stop; give up"
网 122.5,3980,4522,0.0000030490,,10,罡,gāng,the name of a certain stars; the god who is supposed to live in them
网 122.5,5741,4523,0.0000004444,,10,罟,gǔ,net; snare; pressure come or go
网 122.5,9468,,0.0000000052,,10,罝,jū,net for catching rabbits
网 122.6,7075,,0.0000000517,,11,罣,guà,"hinder, disturb, obstruct"
网 122.7,9095,,0.0000000052,,12,罥,juàn,impede
网 122.8,677,2931,0.0002958853,4,13,置,zhì,"place, lay out; set aside"
